tag_completo,prefixo,tipo_instrumento,descricao,sistemas_manual,fases_vault,qtd_mencoes_manual,trecho_exemplo,fonte_trecho,origem
37223-KS-5723,KS,Chaves de Ciclo/Sequência,Ciclo de transporte de cinza do Economizador,5.10 - Sistema de Manuseio de Cinza Volante,,1,Ciclo de transporte de cinza do ECONOMIZADOR 37223-KS-5723,5.10 - Sistema de Manuseio de Cinza Volante.txt,Manual completo
37223-LSH-5704,LSH,Chaves de Nível Alto,Chave de nível de envio do pneumático do Economizador,5.10 - Sistema de Manuseio de Cinza Volante,,1,• a chave de nível 37223-LSH-5704 é ativado,5.10 - Sistema de Manuseio de Cinza Volante.txt,Manual completo
37223-M-5211,M,"Equipamentos Mecânicos (motores, tanques, ventiladores, transportadores...)",Rosca de cinza ESP 1,5.10 - Sistema de Manuseio de Cinza Volante,,3,O operador ajustou as roscas de cinza ESP 37223-M-5211 e 37223-M-5213 manualmente do modo DCS para o AUTO.,5.10 - Sistema de Manuseio de Cinza Volante.txt,Manual completo
37223-M-5213,M,"Equipamentos Mecânicos (motores, tanques, ventiladores, transportadores...)",Rosca de cinza ESP 2,5.10 - Sistema de Manuseio de Cinza Volante,,2,O operador ajustou as roscas de cinza ESP 37223-M-5211 e 37223-M-5213 manualmente do modo DCS para o AUTO.,5.10 - Sistema de Manuseio de Cinza Volante.txt,Manual completo
37223-KS-5765,KS,Chaves de Ciclo/Sequência,Ciclos de transporte pneumático de cinza ESP,5.10 - Sistema de Manuseio de Cinza Volante,,1,Ciclos de transporte pneumático de cinza ESP 37223-KS-5765 e 37223-KS-5765,5.10 - Sistema de Manuseio de Cinza Volante.txt,Manual completo
37223-LSH-5743,LSH,Chaves de Nível Alto,Chave de nível do pneumático ESP 1,5.10 - Sistema de Manuseio de Cinza Volante,,1,• as chaves de nível 37223-LSH-5743 e 37223-LSH-5754 são ativados,5.10 - Sistema de Manuseio de Cinza Volante.txt,Manual completo
37223-LSH-5754,LSH,Chaves de Nível Alto,Chave de nível do pneumático ESP 2,5.10 - Sistema de Manuseio de Cinza Volante,,1,• as chaves de nível 37223-LSH-5743 e 37223-LSH-5754 são ativados,5.10 - Sistema de Manuseio de Cinza Volante.txt,Manual completo
37223-CB-5860,CB,Painéis de Controle Local,Painel de controle local da descarga a seco,5.10 - Sistema de Manuseio de Cinza Volante,,1,A descarga a seco é controlada pelo painel de controle local 37223-CB-5860                                válvulas podem ser ajustados no DCS).,5.10 - Sistema de Manuseio de Cinza Volante.txt,Manual completo
37223-M-5239,M,"Equipamentos Mecânicos (motores, tanques, ventiladores, transportadores...)",Válvula rotativa do filtro do silo de cinza,5.10 - Sistema de Manuseio de Cinza Volante,,3,Descarga a seco                                                                                      o Válvula rotativa do filtro de cinza 37223-M-5239-M01 é iniciada.,5.10 - Sistema de Manuseio de Cinza Volante.txt,Manual completo
37223-ZSH-5853,ZSH,Chaves de Posição - Alarme Alto (segurança),Chave de limite (corda frouxa da calha),5.10 - Sistema de Manuseio de Cinza Volante,,2,     Quando a corda frouxa da chave limitadora 37223-ZSH-5853 é ativada.,5.10 - Sistema de Manuseio de Cinza Volante.txt,Manual completo
